Province_Name;Kabupaten_Name;Kecamatan_Name;nama_deskel;Tipe;Tipologi;jumlah_prasejahtera;jumlah_sejahtera1;jumlah_sejahtera2;jumlah_sejahtera3;jumlah_sejahtera3plus
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;SINDANGPANON;DESA;Persawahan;244;1347;3000;123;0
JAWA BARAT;KABUPATEN BANDUNG;BANJARAN;TARAJUSARI;DESA;Persawahan;65;1155;1867;290;215
JAWA BARAT;KABUPATEN BANDUNG;BOJONGSOANG;BOJONGSARI;DESA;Persawahan;5719;4957;0;356;356
JAWA BARAT;KABUPATEN BANDUNG;BOJONGSOANG;BOJONGSOANG;DESA;Perindustrian/Jasa;1554;47;90;503;3290
JAWA BARAT;KABUPATEN BANDUNG;BOJONGSOANG;BUAHBATU;DESA;Persawahan;158;751;0;0;4023
JAWA BARAT;KABUPATEN BANDUNG;BOJONGSOANG;CIPAGALO;DESA;Perindustrian/Jasa;457;2075;3055;2057;1555
JAWA BARAT;KABUPATEN BANDUNG;BOJONGSOANG;LENGKONG;DESA;Perindustrian/Jasa;1500;1252;1537;245;315
JAWA BARAT;KABUPATEN BANDUNG;BOJONGSOANG;TEGALLUAR;DESA;Persawahan;2196;1318;659;176;43
JAWA BARAT;KABUPATEN BANDUNG;CANGKUANG;BANDASARI;DESA;Persawahan;773;1160;975;1;0
JAWA BARAT;KABUPATEN BANDUNG;CANGKUANG;CILUNCAT;DESA;Persawahan;2471;683;815;500;473
JAWA BARAT;KABUPATEN BANDUNG;CANGKUANG;JATISARI;DESA;Perladangan;510;1391;330;100;15
JAWA BARAT;KABUPATEN BANDUNG;CANGKUANG;NAGRAK;DESA;Persawahan;135;1607;1900;1049;80
JAWA BARAT;KABUPATEN BANDUNG;CANGKUANG;PANANJUNG;DESA;Persawahan;825;1923;1513;0;0
JAWA BARAT;KABUPATEN BANDUNG;CANGKUANG;TANJUNGSARI;DESA;Persawahan;1245;900;560;445;321
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;BABAKAN PEUTEUY;DESA;Persawahan;495;583;604;703;709
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;CICALENGKA KULON;DESA;Perindustrian/Jasa;679;629;412;125;103
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;CICALENGKA WETAN;DESA;Perindustrian/Jasa;238;6562;4210;2185;1385
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;CIKUYA;DESA;Persawahan;301;459;499;533;521
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;DAMPIT;DESA;Persawahan;977;695;160;0;0
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;MARGAASIH;DESA;Persawahan;756;1130;870;478;30
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;NAGROG;DESA;Perindustrian/Jasa;167;1671;836;501;167
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;NARAWITA;DESA;Persawahan;1024;430;523;71;0
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;PANENJOAN;DESA;Perindustrian/Jasa;1269;322;94;521;853
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;TANJUNGWANGI;DESA;Perladangan;275;1428;205;56;9
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;TENJOLAYA;DESA;Persawahan;569;290;875;881;53
JAWA BARAT;KABUPATEN BANDUNG;CICALENGKA;WALUYA;DESA;Perindustrian/Jasa;1256;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIKANCUNG;CIHANYIR;DESA;Persawahan;100;105;102;101;50
JAWA BARAT;KABUPATEN BANDUNG;CIKANCUNG;CIKASUNGKA;DESA;Persawahan;1288;311;263;63;64
JAWA BARAT;KABUPATEN BANDUNG;CIKANCUNG;HEGARMANAH;DESA;Persawahan;49;1004;1400;915;465
JAWA BARAT;KABUPATEN BANDUNG;CIKANCUNG;MANDALASARI;DESA;Perladangan;250;725;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIKANCUNG;SRIRAHAYU;DESA;Persawahan;1593;951;453;75;15
JAWA BARAT;KABUPATEN BANDUNG;CIKANCUNG;TANJUNGLAYA;DESA;Perindustrian/Jasa;1060;3237;654;458;39
JAWA BARAT;KABUPATEN BANDUNG;CILENGKRANG;CILENGKRANG;DESA;Perladangan;120;142;436;971;60
JAWA BARAT;KABUPATEN BANDUNG;CILENGKRANG;CIPANJALU;DESA;Perladangan;197;76;27;17;5
JAWA BARAT;KABUPATEN BANDUNG;CILENGKRANG;CIPOREAT;DESA;Peternakan;290;282;842;307;24
JAWA BARAT;KABUPATEN BANDUNG;CILENGKRANG;GIRIMEKAR;DESA;Persawahan;721;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;CILENGKRANG;JATIENDAH;DESA;Perindustrian/Jasa;868;1486;2263;656;376
JAWA BARAT;KABUPATEN BANDUNG;CILENGKRANG;MELATIWANGI;DESA;Perladangan;589;254;302;217;170
JAWA BARAT;KABUPATEN BANDUNG;CILEUNYI;CIBIRU HILIR;DESA;Persawahan;79;1062;810;366;294
JAWA BARAT;KABUPATEN BANDUNG;CILEUNYI;CIBIRU WETAN;DESA;Perindustrian/Jasa;147;2117;2463;728;101
JAWA BARAT;KABUPATEN BANDUNG;CILEUNYI;CILEUNYI KULON;DESA;Perindustrian/Jasa;776;375;1997;2341;1011
JAWA BARAT;KABUPATEN BANDUNG;CILEUNYI;CILEUNYI WETAN;DESA;Perindustrian/Jasa;437;3397;2558;1285;2475
JAWA BARAT;KABUPATEN BANDUNG;CILEUNYI;CIMEKAR;DESA;Perindustrian/Jasa;2211;2119;2872;3529;621
JAWA BARAT;KABUPATEN BANDUNG;CILEUNYI;CINUNUK;DESA;Pertambangan;3019;2915;3121;3023;2204
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;CAMPAKAMULYA;DESA;Persawahan;369;1056;1125;345;76
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;CIKALONG;DESA;Persawahan;237;1567;333;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;CIMAUNG;DESA;Persawahan;1500;342;453;54;35
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;CIPINANG;DESA;Persawahan;320;1340;665;299;76
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;JAGABAYA;DESA;Persawahan;538;4519;9470;248;100
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;MALASARI;DESA;Persawahan;0;1210;700;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;MEKARSARI;DESA;Persawahan;244;887;1078;126;5
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;PASIRHUNI;DESA;Persawahan;1356;702;56;24;6
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;SUKAMAJU;DESA;Persawahan;209;359;329;194;66
JAWA BARAT;KABUPATEN BANDUNG;CIMAUNG;WARJABAKTI;DESA;Perladangan;36;604;967;408;0
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;CIBEUNYING;KELURAHAN;Perindustrian/Jasa;508;1454;3261;2976;92
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;CIBURIAL;DESA;Perladangan;1260;1033;344;783;406
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;CIKADUT;DESA;Perindustrian/Jasa;1402;1032;655;14;3
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;CIMENYAN;DESA;Perladangan;659;2093;1795;1407;405
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;MANDALAMEKAR;DESA;Perindustrian/Jasa;358;711;924;602;22
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;MEKARMANIK;DESA;Perladangan;158;1555;936;105;66
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;MEKARSALUYU;DESA;Perladangan;0;260;249;897;22
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;PADASUKA;KELURAHAN;Perindustrian/Jasa;5046;2671;2107;1771;465
JAWA BARAT;KABUPATEN BANDUNG;CIMENYAN;SINDANGLAYA;DESA;Perladangan;257;459;574;335;14
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;BABAKAN;DESA;Persawahan;354;1059;1090;100;16
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;BUMIWANGI;DESA;Perindustrian/Jasa;566;3445;1169;100;35
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;CIHEULANG;DESA;Perindustrian/Jasa;545;115;1714;1475;0
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;CIKONENG;DESA;Persawahan;1284;591;225;95;16
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;CIPARAY;DESA;Persawahan;102;1388;503;186;58
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;GUNUNGLEUTIK;DESA;Perindustrian/Jasa;110;923;1512;609;202
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;MANGUNHARJA;DESA;Perindustrian/Jasa;375;1200;700;175;50
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;MEKARLAKSANA;DESA;Persawahan;897;1477;644;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;MEKARSARI;DESA;Persawahan;1341;55;362;654;13
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;PAKUTANDANG;DESA;Perindustrian/Jasa;1315;2649;1579;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;SAGARACIPTA;DESA;Persawahan;1594;570;485;151;37
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;SARIMAHI;DESA;Perindustrian/Jasa;1188;1584;562;248;89
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;SERANGMEKAR;DESA;Persawahan;1189;1371;580;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIPARAY;SUMBERSARI;DESA;Persawahan;1201;4110;54;36;15
JAWA BARAT;KABUPATEN BANDUNG;CIWIDEY;CIWIDEY;DESA;Perindustrian/Jasa;400;2578;1090;680;40
JAWA BARAT;KABUPATEN BANDUNG;CIWIDEY;LEBAKMUNCANG;DESA;Perladangan;306;2237;2019;0;0
JAWA BARAT;KABUPATEN BANDUNG;CIWIDEY;NENGKELAN;DESA;Persawahan;511;870;966;113;0
JAWA BARAT;KABUPATEN BANDUNG;CIWIDEY;PANUNDAAN;DESA;Perladangan;477;1746;1661;772;196
JAWA BARAT;KABUPATEN BANDUNG;CIWIDEY;PANYOCOKAN;DESA;Persawahan;1982;1017;947;430;66
JAWA BARAT;KABUPATEN BANDUNG;CIWIDEY;RAWABOGO;DESA;Persawahan;443;979;395;381;181
JAWA BARAT;KABUPATEN BANDUNG;CIWIDEY;SUKAWENING;DESA;Persawahan;1162;742;645;342;125
JAWA BARAT;KABUPATEN BANDUNG;DAYEUHKOLOT;CANGKUANG KULON;DESA;Perindustrian/Jasa;242;176;6521;2168;4801
JAWA BARAT;KABUPATEN BANDUNG;DAYEUHKOLOT;CANGKUANG WETAN;DESA;Perindustrian/Jasa;0;478;1227;4600;1840
JAWA BARAT;KABUPATEN BANDUNG;DAYEUHKOLOT;CITEUREUP;DESA;Perindustrian/Jasa;400;2578;1090;680;400
JAWA BARAT;KABUPATEN BANDUNG;DAYEUHKOLOT;DAYEUHKOLOT;DESA;Perindustrian/Jasa;101;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;DAYEUHKOLOT;SUKAPURA;DESA;Perindustrian/Jasa;0;129;725;693;459
JAWA BARAT;KABUPATEN BANDUNG;IBUN;CIBEET;DESA;Perindustrian/Jasa;229;1450;161;81;0
JAWA BARAT;KABUPATEN BANDUNG;IBUN;DUKUH;DESA;Persawahan;786;1486;123;1;0
JAWA BARAT;KABUPATEN BANDUNG;IBUN;IBUN;DESA;Persawahan;840;480;1323;0;0
JAWA BARAT;KABUPATEN BANDUNG;IBUN;KARYALAKSANA;DESA;Perindustrian/Jasa;716;1318;280;27;0
JAWA BARAT;KABUPATEN BANDUNG;IBUN;LAKSANA;DESA;Perladangan;321;655;497;249;182
JAWA BARAT;KABUPATEN BANDUNG;IBUN;LAMPEGAN;DESA;Perindustrian/Jasa;956;571;536;256;10
JAWA BARAT;KABUPATEN BANDUNG;IBUN;MEKARWANGI;DESA;Persawahan;100;600;300;200;120
JAWA BARAT;KABUPATEN BANDUNG;IBUN;NEGLASARI;DESA;Perladangan;1289;636;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;IBUN;PANGGUH;DESA;Persawahan;1512;556;326;248;61
JAWA BARAT;KABUPATEN BANDUNG;IBUN;SUDI;DESA;Persawahan;242;922;356;202;166
JAWA BARAT;KABUPATEN BANDUNG;IBUN;TALUN;DESA;Persawahan;87;234;472;566;677
JAWA BARAT;KABUPATEN BANDUNG;IBUN;TANGULUN;DESA;Perindustrian/Jasa;796;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;KATAPANG;BANYUSARI;DESA;Persawahan;5;39;16;1;1
JAWA BARAT;KABUPATEN BANDUNG;KATAPANG;CILAMPENI;DESA;Perindustrian/Jasa;66;468;518;326;11
JAWA BARAT;KABUPATEN BANDUNG;KATAPANG;GANDASARI;DESA;Perindustrian/Jasa;700;3000;1500;455;90
JAWA BARAT;KABUPATEN BANDUNG;KATAPANG;KATAPANG;DESA;Persawahan;417;597;1739;359;270
JAWA BARAT;KABUPATEN BANDUNG;KATAPANG;PANGAUBAN;DESA;Perindustrian/Jasa;32;19;5;10;0
JAWA BARAT;KABUPATEN BANDUNG;KATAPANG;SANGKANHURIP;DESA;Perindustrian/Jasa;762;2345;1567;1001;567
JAWA BARAT;KABUPATEN BANDUNG;KATAPANG;SUKAMUKTI;DESA;Persawahan;1334;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;CIBEUREUM;DESA;Perladangan;1410;2005;1043;986;181
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;CIHAWUK;DESA;Perladangan;593;700;0;0;34
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;CIKEMBANG;DESA;Perladangan;1118;690;555;119;38
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;NEGLAWANGI;DESA;Perindustrian/Jasa;300;600;500;97;50
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;RESMI TINGAL;DESA;Peternakan;566;835;326;226;45
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;SANTOSA;DESA;Perindustrian/Jasa;1014;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;SUKAPURA;DESA;Perladangan;184;1070;1092;458;94
JAWA BARAT;KABUPATEN BANDUNG;KERTASARI;TARUMAJAYA;DESA;Perindustrian/Jasa;370;3651;837;0;0
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;BUNINAGARA;DESA;Persawahan;45;415;825;630;304
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;CIBODAS;DESA;Persawahan;302;1535;948;235;132
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;CILAME;DESA;Perladangan;379;877;253;174;43
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;GAJAH MEKAR;DESA;Persawahan;1013;1022;511;511;511
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;JATISARI;DESA;Persawahan;900;457;443;0;0
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;JELEGONG;DESA;Perindustrian/Jasa;475;300;2900;2100;90
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;KOPO;DESA;Persawahan;1176;1271;122;63;18
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;KUTAWARINGIN;DESA;Persawahan;752;1546;300;58;15
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;PADASUKA;DESA;Perindustrian/Jasa;3;10;261;950;1622
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;PAMEUNTASAN;DESA;Persawahan;221;1040;780;338;117
JAWA BARAT;KABUPATEN BANDUNG;KUTAWARINGIN;SUKAMULYA;DESA;Perladangan;1168;335;494;470;208
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;BIRU;DESA;Perindustrian/Jasa;1342;2710;797;0;0
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;BOJONG;DESA;Persawahan;1404;1489;1152;252;23
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;MAJAKERTA;DESA;Perindustrian/Jasa;1041;1651;445;129;50
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;MAJALAYA;DESA;Persawahan;252;1450;850;650;250
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;MAJASETRA;DESA;Perindustrian/Jasa;669;1978;502;198;59
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;NEGLASARI;DESA;Perindustrian/Jasa;1541;721;354;329;205
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;PADAMULYA;DESA;Perindustrian/Jasa;4507;1173;2035;779;99
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;PADAULUN;DESA;Perindustrian/Jasa;48;2563;2552;1150;1166
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;SUKAMAJU;DESA;Perindustrian/Jasa;5697;2749;214;0;0
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;SUKAMUKTI;DESA;Perindustrian/Jasa;1225;1825;777;500;0
JAWA BARAT;KABUPATEN BANDUNG;MAJALAYA;WANGISAGARA;DESA;Persawahan;1255;2010;1285;822;685
JAWA BARAT;KABUPATEN BANDUNG;MARGAASIH;CIGONDEWAH HILIR;DESA;Persawahan;294;184;404;150;200
JAWA BARAT;KABUPATEN BANDUNG;MARGAASIH;LAGADAR;DESA;Perindustrian/Jasa;3847;1815;1742;830;150
JAWA BARAT;KABUPATEN BANDUNG;MARGAASIH;MARGAASIH;DESA;Perindustrian/Jasa;2178;1619;1117;1450;59
JAWA BARAT;KABUPATEN BANDUNG;MARGAASIH;MEKARRAHAYU;DESA;Perindustrian/Jasa;22;660;650;726;6070
JAWA BARAT;KABUPATEN BANDUNG;MARGAASIH;NANJUNG;DESA;Persawahan;600;1906;1909;973;673
JAWA BARAT;KABUPATEN BANDUNG;MARGAASIH;RAHAYU;DESA;Perindustrian/Jasa;6073;2530;1012;506;0
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;BOJONG;DESA;Perladangan;126;864;879;50;32
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;CIARO;DESA;Perladangan;488;1077;450;291;8
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;CIHERANG;DESA;Perladangan;887;548;189;0;0
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;CITAMAN;DESA;Persawahan;335;1414;678;122;1
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;GANJAR SABAR;DESA;Peternakan;755;431;654;672;0
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;MANDALAWANGI;DESA;Perladangan;555;433;567;0;0
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;NAGREG;DESA;Perladangan;623;834;250;126;127
JAWA BARAT;KABUPATEN BANDUNG;NAGREG;NAGREG KENDAN;DESA;Perladangan;733;889;427;43;2
JAWA BARAT;KABUPATEN BANDUNG;PACET;CANANGGELA;DESA;Perladangan;1096;206;148;72;45
JAWA BARAT;KABUPATEN BANDUNG;PACET;CIKAWAO;DESA;Perladangan;2373;1253;524;492;104
JAWA BARAT;KABUPATEN BANDUNG;PACET;CIKITU;DESA;Persawahan;1464;529;177;26;9
JAWA BARAT;KABUPATEN BANDUNG;PACET;CIPEUJEUH;DESA;Persawahan;518;785;325;251;32
JAWA BARAT;KABUPATEN BANDUNG;PACET;GIRIMULYA;DESA;Perladangan;2296;300;950;1246;0
JAWA BARAT;KABUPATEN BANDUNG;PACET;MANDALAHAJI;DESA;Persawahan;2700;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;PACET;MARUYUNG;DESA;Perindustrian/Jasa;213;2307;1328;597;52
JAWA BARAT;KABUPATEN BANDUNG;PACET;MEKARJAYA;DESA;Persawahan;369;1145;449;135;26
JAWA BARAT;KABUPATEN BANDUNG;PACET;MEKARSARI;DESA;Persawahan;629;648;735;260;84
JAWA BARAT;KABUPATEN BANDUNG;PACET;NAGRAK;DESA;Perladangan;1500;1000;700;500;57
JAWA BARAT;KABUPATEN BANDUNG;PACET;PANGAUBAN;DESA;Persawahan;1971;969;543;337;98
JAWA BARAT;KABUPATEN BANDUNG;PACET;SUKARAME;DESA;Perladangan;977;230;323;424;591
JAWA BARAT;KABUPATEN BANDUNG;PACET;TANJUNGWANGI;DESA;Perindustrian/Jasa;1275;459;250;120;2
JAWA BARAT;KABUPATEN BANDUNG;PAMEUNGPEUK;BOJONGKUNCI;DESA;Perindustrian/Jasa;2962;1612;1095;300;177
JAWA BARAT;KABUPATEN BANDUNG;PAMEUNGPEUK;BOJONGMANGGU;DESA;Perindustrian/Jasa;168;1950;480;112;10
JAWA BARAT;KABUPATEN BANDUNG;PAMEUNGPEUK;LANGONSARI;DESA;Perindustrian/Jasa;0;1245;2087;622;98
JAWA BARAT;KABUPATEN BANDUNG;PAMEUNGPEUK;RANCAMULYA;DESA;Perindustrian/Jasa;455;1588;1061;285;61
JAWA BARAT;KABUPATEN BANDUNG;PAMEUNGPEUK;RANCATUNGKU;DESA;Perindustrian/Jasa;1373;2362;379;94;0
JAWA BARAT;KABUPATEN BANDUNG;PAMEUNGPEUK;SUKASARI;DESA;Perindustrian/Jasa;188;1466;1000;425;26
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;BANJARSARI;DESA;Perindustrian/Jasa;674;8;512;147;14
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;LAMAJANG;DESA;Persawahan;720;1480;520;580;375
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;MARGALUYU;DESA;Perladangan;653;482;956;651;244
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;MARGAMEKAR;DESA;Perladangan;426;674;1198;395;57
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;MARGAMUKTI;DESA;Perladangan;814;1300;2083;875;118
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;MARGAMULYA;DESA;Perladangan;1337;2290;1324;515;81
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;PANGALENGAN;DESA;Perladangan;1306;3326;2206;854;135
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;PULOSARI;DESA;Perladangan;591;1677;845;331;60
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;SUKALUYU;DESA;Perladangan;507;943;520;456;299
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;SUKAMANAH;DESA;Perladangan;1501;3155;1228;376;15
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;TRIBAKTIMULYA;DESA;Perladangan;432;921;376;196;8
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;WANASUKA;DESA;Perindustrian/Jasa;667;319;178;161;170
JAWA BARAT;KABUPATEN BANDUNG;PANGALENGAN;WARNASARI;DESA;Perladangan;182;1033;1131;301;3
JAWA BARAT;KABUPATEN BANDUNG;PASEH;CIGENTUR;DESA;Perindustrian/Jasa;802;542;363;103;30
JAWA BARAT;KABUPATEN BANDUNG;PASEH;CIJAGRA;DESA;Perindustrian/Jasa;102;500;700;900;202
JAWA BARAT;KABUPATEN BANDUNG;PASEH;CIPAKU;DESA;Perindustrian/Jasa;2410;2209;232;32;0
JAWA BARAT;KABUPATEN BANDUNG;PASEH;CIPEDES;DESA;Perindustrian/Jasa;2844;423;389;85;4
JAWA BARAT;KABUPATEN BANDUNG;PASEH;DRAWATI;DESA;Persawahan;1890;1400;500;98;0
JAWA BARAT;KABUPATEN BANDUNG;PASEH;KARANGTUNGGAL;DESA;Perindustrian/Jasa;324;522;595;214;97
JAWA BARAT;KABUPATEN BANDUNG;PASEH;LOA;DESA;Persawahan;1989;0;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;PASEH;MEKARPAWITAN;DESA;Perindustrian/Jasa;35;670;0;0;0
JAWA BARAT;KABUPATEN BANDUNG;PASEH;SINDANGSARI;DESA;Perindustrian/Jasa;2079;628;1198;0;0
